freq, val
0.25,2.5642980133351776e-30
0.5,3.311077730191016e-30
0.75,1.0509238992739868e-30
1.0,4.592002080060503e-31
1.25,3.885222358760471e-31
1.5,1.6910243909646249e-31
1.75,1.222155222324799e-30
2.0,7.823960124539724e-31
2.25,7.154866311688663e-31
2.5,1.2358972810023529e-30
2.75,3.5955039858604972e-31
3.0,3.2667672474416407e-31
3.25,7.618064652743822e-31
3.5,2.9593826117081235e-29
3.75,6.971818402801059e-31
4.0,1.7185694554698726e-30
4.25,1.0196363750144645e-30
4.5,2.654549772203769e-30
4.75,1.4605789499891742e-30
5.0,7.2764650659031256e-31
5.25,1.3965772810532545e-31
5.5,4.227733153110704e-31
5.75,2.6130976346119674e-31
6.0,1.5812890471396498e-31
6.25,4.050218483616329e-31
6.5,1.8658429109047335e-31
6.75,4.875238723543211e-31
7.0,3.441211704247772e-30
7.25,1.0434072872473642e-30
7.5,1.4794268561696096e-30
7.75,4.576378278122412e-31
