time,val
0.0,-0.0013
0.1,-0.0002
0.2,-0.0003
0.3,-0.0005
0.4,-0.0011
0.5,-0.0002
0.6,0.0000
0.7,-0.0001
0.8,-0.0002
0.9,-0.0003
1.0,-0.0000
1.1,-0.0000
1.2,-0.0001
1.3,-0.0003
1.4,-0.0034
1.5,-0.0058
1.6,-0.0009
1.7,-0.0000
1.8,-0.0001
1.9,-0.0009
2.0,-0.0022
2.1,-0.0010
2.2,-0.0005
2.3,-0.0002
2.4,-0.0024
2.5,-0.0129
2.6,-0.0007
2.7,-0.0018
2.8,-0.0018
2.9,-0.0000
3.0,-0.0001
3.1,-0.0001
3.2,-0.0054
3.3,-0.0002
3.4,-0.0007
3.5,-0.0010
3.6,-0.0000
3.7,-0.0001
3.8,-0.0032
3.9,-0.0001
4.0,-0.0013
4.1,-0.0005
4.2,-0.0157
4.3,-0.0016
4.4,-0.0009
4.5,-0.0002
4.6,-0.0015
4.7,-0.0032
4.8,-0.0002
4.9,-0.0003
5.0,-0.0014
5.1,-0.0001
5.2,-0.0009
5.3,-0.0003
5.4,-0.0007
5.5,-0.0001
5.6,-0.0016
5.7,-0.0149
5.8,-0.0002
5.9,-0.0001
6.0,-0.0004
6.1,-0.0004
6.2,-0.0001
6.3,-0.0001
6.4,0.0000
6.5,-0.0016
6.6,-0.0002
6.7,-0.0001
6.8,-0.0004
6.9,-0.0002
7.0,-0.0003
7.1,-0.0003
7.2,-0.0008
7.3,-0.0050
7.4,-0.0169
7.5,-0.0006
