freq, val
0.25,2.9898419698695363e-26
0.5,1.1094550114877056e-27
0.75,7.772237703859156e-29
1.0,1.977099941414291e-29
1.25,5.88163312253352e-30
1.5,1.3579752099644655e-30
1.75,8.916331608699223e-31
2.0,6.95986143536178e-30
2.25,8.71829387998163e-31
2.5,1.0609093209307902e-30
2.75,7.779207542963159e-31
3.0,5.9680205160610496e-30
3.25,1.563796042733662e-29
3.5,2.506059147119124e-30
3.75,1.5709667894889321e-30
4.0,5.954351244081873e-31
4.25,5.3708577769631215e-30
4.5,2.5047075580449407e-31
4.75,6.460644223688103e-31
5.0,3.263441228566282e-31
5.25,1.7096467926895464e-31
5.5,5.994191831802168e-31
5.75,1.8102838697578586e-31
6.0,1.883587597483718e-30
6.25,1.3627880286484081e-31
6.5,1.4060736661654181e-31
6.75,8.344091484057699e-32
7.0,1.3078644186796837e-31
7.25,1.410165905280334e-31
7.5,3.3627345933351023e-32
7.75,1.2855003380858481e-31
