freq, val
0.25,1.4762925939009936e-30
0.5,2.035386962893244e-30
0.75,5.979360846890057e-31
1.0,6.553056882858586e-31
1.25,1.9789437002248425e-31
1.5,1.6009835688079158e-31
1.75,3.783794111499419e-31
2.0,5.302701464953839e-31
2.25,4.31353642989808e-31
2.5,2.392569737303617e-31
2.75,1.868964185188794e-31
3.0,4.387140424298832e-31
3.25,3.287209448584843e-30
3.5,6.270672231654899e-31
3.75,1.4624514641098327e-31
4.0,7.6052809880022015e-31
4.25,2.9502649276705872e-31
4.5,1.8265106675626355e-30
4.75,1.4555456295949584e-31
5.0,3.171992137729504e-31
5.25,2.030418331126995e-31
5.5,1.2650149851383495e-31
5.75,2.2059370872653477e-31
6.0,3.4041614237854557e-31
6.25,4.849008307396429e-32
6.5,5.506474452246156e-32
6.75,4.5837132676416213e-32
7.0,6.379642940782719e-32
7.25,2.5627213036873466e-31
7.5,3.831887281943789e-31
7.75,4.2349059554914886e-32
