freq, val
0.25,-9.218006252792655e-12
0.5,-8.658214158457318e-12
0.75,-8.69003696485364e-12
1.0,-8.672679070455646e-12
1.25,-8.678465035254979e-12
1.5,-8.689072637387086e-12
1.75,-8.678465035254979e-12
2.0,-8.68425100005431e-12
2.25,-8.676536380321868e-12
2.5,-8.680393690188089e-12
2.75,-8.682804508854477e-12
3.0,-8.676536380321868e-12
3.25,-8.701126730719026e-12
3.5,-8.683286672587755e-12
3.75,-8.694858602186417e-12
4.0,-8.681840181387921e-12
4.25,-8.685697491254142e-12
4.5,-8.680875853921365e-12
4.75,-8.682804508854477e-12
5.0,-8.68425100005431e-12
5.25,-8.681840181387921e-12
5.5,-8.681358017654645e-12
5.75,-8.683286672587755e-12
6.0,-8.679911526454811e-12
6.25,-8.681358017654645e-12
6.5,-8.681358017654645e-12
6.75,-8.682322345121199e-12
7.0,-8.679429362721533e-12
7.25,-8.678947198988255e-12
7.5,-8.685697491254142e-12
7.75,-8.68617965498742e-12
