freq, val
0.25,1.8165615083564286e-10
0.5,-1.1728150648236913e-11
0.75,9.2671869535761e-13
1.0,-3.908901385675508e-12
1.25,2.5930765575610146e-12
1.5,1.529423361953244e-12
1.75,-4.093570095518897e-13
2.0,-3.187102276958731e-13
2.25,-1.8322221864512842e-13
2.5,4.696274762114254e-13
2.75,9.64327466553286e-15
3.0,4.339473599489771e-14
3.25,-4.291257226162149e-14
3.5,9.64327466553286e-15
3.75,-1.0125438398809526e-14
4.0,3.857309866213147e-15
4.25,1.92865493310657e-14
4.5,5.785964799319719e-15
4.75,2.8929823996598604e-15
5.0,0.0
5.25,6.750292265873005e-15
5.5,4.821637332766433e-15
5.75,6.750292265873005e-15
6.0,3.857309866213147e-15
6.25,2.8929823996598604e-15
6.5,3.857309866213147e-15
6.75,6.750292265873005e-15
7.0,3.857309866213147e-15
7.25,5.785964799319719e-15
7.5,9.64327466553287e-16
7.75,6.750292265873005e-15
