time,val
0.0,-14.7815
0.1,-13.4488
0.2,-13.9141
0.3,-13.4796
0.4,-13.3187
0.5,-13.4155
0.6,-12.7715
0.7,-14.1592
0.8,-13.0129
0.9,-13.3417
1.0,-13.8057
1.1,-13.3873
1.2,-14.1114
1.3,-13.8073
1.4,-14.3923
1.5,-14.7632
1.6,-14.0124
1.7,-12.8834
1.8,-12.9116
1.9,-13.7513
2.0,-12.7861
2.1,-12.9918
2.2,-13.9723
2.3,-13.4357
2.4,-13.7667
2.5,-13.7926
2.6,-14.3465
2.7,-13.3833
2.8,-12.2959
2.9,-13.0521
3.0,-12.3705
3.1,-13.3620
3.2,-12.7380
3.3,-13.3499
3.4,-14.0456
3.5,-13.4932
3.6,-13.9517
3.7,-13.7931
3.8,-13.8065
3.9,-13.6857
4.0,-12.4547
4.1,-11.8438
4.2,-12.1661
4.3,-12.4612
4.4,-12.1066
4.5,-12.2679
4.6,-12.4233
4.7,-12.3077
4.8,-12.5279
4.9,-12.6635
5.0,-12.3131
5.1,-12.7977
5.2,-12.8383
5.3,-12.1697
5.4,-11.8903
5.5,-12.1041
5.6,-12.5391
5.7,-12.2017
5.8,-11.5099
5.9,-12.4436
6.0,-12.3679
6.1,-12.7994
6.2,-13.5750
6.3,-13.4346
6.4,-13.6255
6.5,-13.0607
6.6,-12.7143
6.7,-13.1219
6.8,-12.7040
6.9,-13.2444
7.0,-12.7933
7.1,-13.3855
7.2,-13.7536
7.3,-13.2791
7.4,-13.6226
7.5,-13.9594
