freq,ang,val
4.0,-180.0,-6.23
4.15,-180.0,-6.58
4.3,-180.0,-6.98
4.46,-180.0,-7.47
4.63,-180.0,-8.05
4.8,-180.0,-8.77
4.98,-180.0,-9.7
5.16,-180.0,-10.97
5.36,-180.0,-12.88
5.55,-180.0,-16.49
5.76,-180.0,-22.43
5.98,-180.0,-15.7
6.2,-180.0,-28.64
6.43,-180.0,-4.01
6.67,-180.0,-5.75
6.91,-180.0,-5.36
7.17,-180.0,-4.75
7.44,-180.0,-4.13
7.71,-180.0,-3.54
8.0,-180.0,-2.98
4.0,-177.0,-6.19
4.15,-177.0,-6.55
4.3,-177.0,-6.96
4.46,-177.0,-7.45
4.63,-177.0,-8.05
4.8,-177.0,-8.78
4.98,-177.0,-9.72
5.16,-177.0,-10.99
5.36,-177.0,-12.9
5.55,-177.0,-16.47
5.76,-177.0,-22.94
5.98,-177.0,-15.9
6.2,-177.0,-27.27
6.43,-177.0,-4.16
6.67,-177.0,-5.94
6.91,-177.0,-5.57
7.17,-177.0,-4.99
7.44,-177.0,-4.41
7.71,-177.0,-3.85
8.0,-177.0,-3.34
4.0,-174.0,-6.51
4.15,-174.0,-6.88
4.3,-174.0,-7.31
4.46,-174.0,-7.81
4.63,-174.0,-8.42
4.8,-174.0,-9.16
4.98,-174.0,-10.11
5.16,-174.0,-11.38
5.36,-174.0,-13.26
5.55,-174.0,-16.69
5.76,-174.0,-24.98
5.98,-174.0,-16.69
6.2,-174.0,-26.52
6.43,-174.0,-4.83
6.67,-174.0,-6.63
6.91,-174.0,-6.29
7.17,-174.0,-5.75
7.44,-174.0,-5.21
7.71,-174.0,-4.7
8.0,-174.0,-4.24
4.0,-171.0,-7.24
4.15,-171.0,-7.62
4.3,-171.0,-8.07
4.46,-171.0,-8.59
4.63,-171.0,-9.21
4.8,-171.0,-9.96
4.98,-171.0,-10.91
5.16,-171.0,-12.17
5.36,-171.0,-14.0
5.55,-171.0,-17.23
5.76,-171.0,-31.07
5.98,-171.0,-18.13
6.2,-171.0,-26.46
6.43,-171.0,-6.03
6.67,-171.0,-7.86
6.91,-171.0,-7.55
7.17,-171.0,-7.06
7.44,-171.0,-6.57
7.71,-171.0,-6.12
8.0,-171.0,-5.74
4.0,-168.0,-8.47
4.15,-168.0,-8.87
4.3,-168.0,-9.34
4.46,-168.0,-9.88
4.63,-168.0,-10.51
4.8,-168.0,-11.27
4.98,-168.0,-12.21
5.16,-168.0,-13.45
5.36,-168.0,-15.21
5.55,-168.0,-18.19
5.76,-168.0,-29.39
5.98,-168.0,-20.32
6.2,-168.0,-27.16
6.43,-168.0,-7.84
6.67,-168.0,-9.68
6.91,-168.0,-9.42
7.17,-168.0,-8.97
7.44,-168.0,-8.55
7.71,-168.0,-8.19
8.0,-168.0,-7.9
4.0,-165.0,-10.47
4.15,-165.0,-10.88
4.3,-165.0,-11.37
4.46,-165.0,-11.92
4.63,-165.0,-12.55
4.8,-165.0,-13.29
4.98,-165.0,-14.21
5.16,-165.0,-15.4
5.36,-165.0,-17.07
5.55,-165.0,-19.77
5.76,-165.0,-27.01
5.98,-165.0,-23.51
6.2,-165.0,-28.76
6.43,-165.0,-10.37
6.67,-165.0,-12.23
6.91,-165.0,-12.0
7.17,-165.0,-11.62
7.44,-165.0,-11.27
7.71,-165.0,-11.02
8.0,-165.0,-10.86
4.0,-162.0,-14.12
4.15,-162.0,-14.5
4.3,-162.0,-14.96
4.46,-162.0,-15.47
4.63,-162.0,-16.03
4.8,-162.0,-16.68
4.98,-162.0,-17.49
5.16,-162.0,-18.54
5.36,-162.0,-20.03
5.55,-162.0,-22.41
5.76,-162.0,-27.72
5.98,-162.0,-28.23
6.2,-162.0,-31.57
6.43,-162.0,-13.93
6.67,-162.0,-15.77
6.91,-162.0,-15.57
7.17,-162.0,-15.26
7.44,-162.0,-15.03
7.71,-162.0,-14.91
8.0,-162.0,-14.93
4.0,-159.0,-22.75
4.15,-159.0,-25.1
4.3,-159.0,-27.51
4.46,-159.0,-33.12
4.63,-159.0,-31.35
4.8,-159.0,-27.62
4.98,-159.0,-26.25
5.16,-159.0,-25.9
5.36,-159.0,-26.36
5.55,-159.0,-27.84
5.76,-159.0,-31.55
5.98,-159.0,-36.33
6.2,-159.0,-36.59
6.43,-159.0,-19.41
6.67,-159.0,-21.16
6.91,-159.0,-20.98
7.17,-159.0,-20.77
7.44,-159.0,-20.72
7.71,-159.0,-20.85
8.0,-159.0,-21.17
4.0,-156.0,-14.36
4.15,-156.0,-15.17
4.3,-156.0,-16.04
4.46,-156.0,-17.05
4.63,-156.0,-18.25
4.8,-156.0,-19.69
4.98,-156.0,-21.42
