freq,ang,val
4.0,-180.0,-1.63
4.15,-180.0,0.86
4.3,-180.0,4.38
4.46,-180.0,5.16
4.63,-180.0,0.29
4.8,-180.0,-4.58
4.98,-180.0,-6.19
5.16,-180.0,-0.99
5.36,-180.0,-2.49
5.55,-180.0,1.59
5.76,-180.0,3.76
5.98,-180.0,7.3
6.2,-180.0,-1.91
6.43,-180.0,1.23
6.67,-180.0,-4.27
6.91,-180.0,-10.81
7.17,-180.0,3.49
7.44,-180.0,6.94
7.71,-180.0,0.52
8.0,-180.0,4.29
4.0,-177.0,-2.55
4.15,-177.0,1.25
4.3,-177.0,2.62
4.46,-177.0,0.66
4.63,-177.0,-2.2
4.8,-177.0,-6.17
4.98,-177.0,3.6
5.16,-177.0,1.83
5.36,-177.0,-2.5
5.55,-177.0,3.16
5.76,-177.0,2.52
5.98,-177.0,0.6
6.2,-177.0,-4.19
6.43,-177.0,0.48
6.67,-177.0,-0.39
6.91,-177.0,-0.42
7.17,-177.0,3.76
7.44,-177.0,3.5
7.71,-177.0,-4.6
8.0,-177.0,5.96
4.0,-174.0,-5.66
4.15,-174.0,-0.06
4.3,-174.0,-3.77
4.46,-174.0,0.21
4.63,-174.0,2.48
4.8,-174.0,-12.9
4.98,-174.0,5.32
5.16,-174.0,1.53
5.36,-174.0,-5.43
5.55,-174.0,1.78
5.76,-174.0,-5.1
5.98,-174.0,4.74
6.2,-174.0,-11.43
6.43,-174.0,3.75
6.67,-174.0,-1.46
6.91,-174.0,-0.47
7.17,-174.0,-2.03
7.44,-174.0,7.83
7.71,-174.0,-2.39
8.0,-174.0,7.4
4.0,-171.0,-18.96
4.15,-171.0,-3.84
4.3,-171.0,-1.42
4.46,-171.0,3.47
4.63,-171.0,2.81
4.8,-171.0,-9.95
4.98,-171.0,4.38
5.16,-171.0,-1.4
5.36,-171.0,-14.69
5.55,-171.0,-4.35
5.76,-171.0,-0.71
5.98,-171.0,6.12
6.2,-171.0,-4.83
6.43,-171.0,2.38
6.67,-171.0,-9.12
6.91,-171.0,-5.76
7.17,-171.0,-0.24
7.44,-171.0,5.84
7.71,-171.0,-1.69
8.0,-171.0,2.43
4.0,-168.0,-7.66
4.15,-168.0,-12.01
4.3,-168.0,0.48
4.46,-168.0,3.16
4.63,-168.0,0.99
4.8,-168.0,-8.45
4.98,-168.0,0.81
5.16,-168.0,-17.85
5.36,-168.0,-7.16
5.55,-168.0,-3.6
5.76,-168.0,0.17
5.98,-168.0,3.97
6.2,-168.0,-5.64
6.43,-168.0,-4.42
6.67,-168.0,-5.93
6.91,-168.0,-6.43
7.17,-168.0,0.27
7.44,-168.0,-12.69
7.71,-168.0,-6.93
8.0,-168.0,1.4
4.0,-165.0,-7.56
4.15,-165.0,-6.08
4.3,-165.0,-0.73
4.46,-165.0,0.64
4.63,-165.0,-3.44
4.8,-165.0,-10.18
4.98,-165.0,-21.54
5.16,-165.0,-5.38
5.36,-165.0,-7.81
5.55,-165.0,-2.6
5.76,-165.0,-2.42
5.98,-165.0,-3.0
6.2,-165.0,-10.38
6.43,-165.0,-4.07
6.67,-165.0,-6.15
6.91,-165.0,-5.86
7.17,-165.0,-4.17
7.44,-165.0,1.06
7.71,-165.0,-9.57
8.0,-165.0,1.31
4.0,-162.0,-10.59
4.15,-162.0,-7.74
4.3,-162.0,-4.66
4.46,-162.0,-4.9
4.63,-162.0,-23.97
4.8,-162.0,-14.97
4.98,-162.0,-4.75
5.16,-162.0,-6.51
5.36,-162.0,-11.58
5.55,-162.0,-5.63
5.76,-162.0,-9.36
5.98,-162.0,-4.65
6.2,-162.0,-18.6
6.43,-162.0,-4.59
6.67,-162.0,-10.8
6.91,-162.0,-10.46
7.17,-162.0,-13.09
7.44,-162.0,-1.79
7.71,-162.0,-10.24
8.0,-162.0,-5.25
4.0,-159.0,-26.72
4.15,-159.0,-25.96
4.3,-159.0,-18.91
4.46,-159.0,-24.15
4.63,-159.0,-15.38
4.8,-159.0,-28.23
4.98,-159.0,-9.14
5.16,-159.0,-12.55
5.36,-159.0,-20.53
5.55,-159.0,-13.51
5.76,-159.0,-15.5
5.98,-159.0,-6.59
6.2,-159.0,-17.46
6.43,-159.0,-10.55
6.67,-159.0,-28.11
6.91,-159.0,-32.46
7.17,-159.0,-12.41
7.44,-159.0,-11.36
7.71,-159.0,-18.47
8.0,-159.0,-13.69
4.0,-156.0,-14.25
4.15,-156.0,-10.47
4.3,-156.0,-17.23
4.46,-156.0,-9.69
4.63,-156.0,-9.54
4.8,-156.0,-23.35
4.98,-156.0,-9.46
5.16,-156.0,-16.79
5.36,-156.0,-27.87
5.55,-156.0,-26.12
5.76,-156.0,-17.84
5.98,-156.0,-13.94
6.2,-156.0,-24.67
6.43,-156.0,-23.78
6.67,-156.0,-24.3
6.91,-156.0,-23.35
